study,group,username,question_name,q_type,responsesummary,marks_attained,task_order,part,response,q_part,relevant_prt,fully_correct,response_type,response_type_overall
study1,CGC,anon103,MidG,G,ans1: n [score]; ans2: -n [score]; ans3: -n [score]; ans4: none [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATEquation_empty | prt4-1-T,4,Generate first,ans3,-n ,MidG_ans3,prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T,TRUE,an+b,an+b
study1,CGC,anon103,MidG,G,ans1: n [score]; ans2: -n [score]; ans3: -n [score]; ans4: none [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATEquation_empty | prt4-1-T,4,Generate first,ans4,none ,MidG_ans4,prt4: ATEquation_empty | prt4-1-T,TRUE,none,none
study1,CGC,anon104,MidG,G,ans1: 1+(n-1)*3 [score]; ans2: 1-(n-1)*3 [score]; ans3: 1+(n-1)*2 [score]; ans4: 1-(n-1)*(1/2) [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_false. | prt3-2-F; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,2,Generate first,ans1,1+(n-1)*3 ,MidG_ans1,prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T,TRUE,an+b,an+b
study1,CGC,anon104,MidG,G,ans1: 1+(n-1)*3 [score]; ans2: 1-(n-1)*3 [score]; ans3: 1+(n-1)*2 [score]; ans4: 1-(n-1)*(1/2) [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_false. | prt3-2-F; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,2,Generate first,ans2,1-(n-1)*3 ,MidG_ans2,prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T,TRUE,an+b,an+b
study1,CGC,anon104,MidG,G,ans1: 1+(n-1)*3 [score]; ans2: 1-(n-1)*3 [score]; ans3: 1+(n-1)*2 [score]; ans4: 1-(n-1)*(1/2) [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_false. | prt3-2-F; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,2,Generate first,ans3,1+(n-1)*2 ,MidG_ans3,prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_false. | prt3-2-F,FALSE,an+b,an+b
study1,CGC,anon104,MidG,G,ans1: 1+(n-1)*3 [score]; ans2: 1-(n-1)*3 [score]; ans3: 1+(n-1)*2 [score]; ans4: 1-(n-1)*(1/2) [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_false. | prt3-2-F; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,2,Generate first,ans4,1-(n-1)*(1/2) ,MidG_ans4,prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,FALSE,an+b,an+b
study1,GGC,anon105,MidG,G,ans1: 2+n [score]; ans2: 2-n [score]; ans3: 3-2*n [score]; ans4: -1/2*n [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,3,Generate first,ans1,2+n ,MidG_ans1,prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T,TRUE,an+b,an+b
study1,GGC,anon105,MidG,G,ans1: 2+n [score]; ans2: 2-n [score]; ans3: 3-2*n [score]; ans4: -1/2*n [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,3,Generate first,ans2,2-n ,MidG_ans2,prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T,TRUE,an+b,an+b
study1,GGC,anon105,MidG,G,ans1: 2+n [score]; ans2: 2-n [score]; ans3: 3-2*n [score]; ans4: -1/2*n [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,3,Generate first,ans3,3-2*n ,MidG_ans3,prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T,TRUE,an+b,an+b
study1,GGC,anon105,MidG,G,ans1: 2+n [score]; ans2: 2-n [score]; ans3: 3-2*n [score]; ans4: -1/2*n [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,3,Generate first,ans4,-1/2*n ,MidG_ans4,prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,FALSE,a/n,1/n
study1,GGC,anon106,MidG,G,Seed: 1; ans1: n+2 [score]; ans2: n-2 [score]; ans3: 2-1/n [score]; ans4: 2+1/n [score]; prt1: # = 1 | ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True. | prt1-1-T | ATGT_true. | prt1-2-T; prt2: # = 0 | ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True. | prt2-1-T | ATGT_false. | prt2-2-F; prt3: # = 0 | ATAlgEquiv_SA_not_logic. | prt3-3-F | prt3-1-F; prt4: # = 0 | ATAlgEquiv_SA_not_logic. | prt4-1-F,1,Generate first,ans1,n+2 ,MidG_ans1,prt1: # = 1 | ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True. | prt1-1-T | ATGT_true. | prt1-2-T,TRUE,an+b,an+b
study1,GGC,anon106,MidG,G,Seed: 1; ans1: n+2 [score]; ans2: n-2 [score]; ans3: 2-1/n [score]; ans4: 2+1/n [score]; prt1: # = 1 | ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True. | prt1-1-T | ATGT_true. | prt1-2-T; prt2: # = 0 | ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True. | prt2-1-T | ATGT_false. | prt2-2-F; prt3: # = 0 | ATAlgEquiv_SA_not_logic. | prt3-3-F | prt3-1-F; prt4: # = 0 | ATAlgEquiv_SA_not_logic. | prt4-1-F,1,Generate first,ans2,n-2 ,MidG_ans2,prt2: # = 0 | ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True. | prt2-1-T | ATGT_false. | prt2-2-F,FALSE,an+b,an+b
study1,GGC,anon106,MidG,G,Seed: 1; ans1: n+2 [score]; ans2: n-2 [score]; ans3: 2-1/n [score]; ans4: 2+1/n [score]; prt1: # = 1 | ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True. | prt1-1-T | ATGT_true. | prt1-2-T; prt2: # = 0 | ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True. | prt2-1-T | ATGT_false. | prt2-2-F; prt3: # = 0 | ATAlgEquiv_SA_not_logic. | prt3-3-F | prt3-1-F; prt4: # = 0 | ATAlgEquiv_SA_not_logic. | prt4-1-F,1,Generate first,ans3,2-1/n ,MidG_ans3,prt3: # = 0 | ATAlgEquiv_SA_not_logic. | prt3-3-F | prt3-1-F,FALSE,1/n,1/n
study1,GGC,anon106,MidG,G,Seed: 1; ans1: n+2 [score]; ans2: n-2 [score]; ans3: 2-1/n [score]; ans4: 2+1/n [score]; prt1: # = 1 | ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True. | prt1-1-T | ATGT_true. | prt1-2-T; prt2: # = 0 | ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True. | prt2-1-T | ATGT_false. | prt2-2-F; prt3: # = 0 | ATAlgEquiv_SA_not_logic. | prt3-3-F | prt3-1-F; prt4: # = 0 | ATAlgEquiv_SA_not_logic. | prt4-1-F,1,Generate first,ans4,2+1/n ,MidG_ans4,prt4: # = 0 | ATAlgEquiv_SA_not_logic. | prt4-1-F,FALSE,1/n,1/n
study1,GCG,anon109,MidG,G,ans1: 2*n+2 [score]; ans2: 5-3*n [score]; ans3: 6-2*n [score]; ans4: -2*n [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,3,Classify first,ans1,2*n+2 ,MidG_ans1,prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T,TRUE,an+b,an+b
study1,GCG,anon109,MidG,G,ans1: 2*n+2 [score]; ans2: 5-3*n [score]; ans3: 6-2*n [score]; ans4: -2*n [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,3,Classify first,ans2,5-3*n ,MidG_ans2,prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T,TRUE,an+b,an+b
study1,GCG,anon109,MidG,G,ans1: 2*n+2 [score]; ans2: 5-3*n [score]; ans3: 6-2*n [score]; ans4: -2*n [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,3,Classify first,ans3,6-2*n ,MidG_ans3,prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T,TRUE,an+b,an+b
study1,GCG,anon109,MidG,G,ans1: 2*n+2 [score]; ans2: 5-3*n [score]; ans3: 6-2*n [score]; ans4: -2*n [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,3,Classify first,ans4,-2*n ,MidG_ans4,prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,FALSE,an+b,an+b
study1,CCG,anon110,MidG,G,ans1: 3*n+1 [score]; ans2: -3*n-1 [score]; ans3: -3*n-1 [score]; ans4: 3*n+1 [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,3,Classify first,ans1,3*n+1 ,MidG_ans1,prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T,TRUE,an+b,an+b
study1,CCG,anon110,MidG,G,ans1: 3*n+1 [score]; ans2: -3*n-1 [score]; ans3: -3*n-1 [score]; ans4: 3*n+1 [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,3,Classify first,ans2,-3*n-1 ,MidG_ans2,prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T,TRUE,an+b,an+b
study1,CCG,anon110,MidG,G,ans1: 3*n+1 [score]; ans2: -3*n-1 [score]; ans3: -3*n-1 [score]; ans4: 3*n+1 [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,3,Classify first,ans3,-3*n-1 ,MidG_ans3,prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T,TRUE,an+b,an+b
study1,CCG,anon110,MidG,G,ans1: 3*n+1 [score]; ans2: -3*n-1 [score]; ans3: -3*n-1 [score]; ans4: 3*n+1 [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,3,Classify first,ans4,3*n+1 ,MidG_ans4,prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,FALSE,an+b,an+b
study1,CCG,anon112,MidG,G,ans1: 2u_n+1 [score]; ans2: 1-2u_n [score]; ans3: 1-2u_n [score]; ans4: 69 [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | prt1-1-F; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | prt2-1-F; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | prt3-1-F; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,0,Classify first,ans1,2u_n+1 ,MidG_ans1,prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | prt1-1-F,FALSE,other,other
study1,CCG,anon112,MidG,G,ans1: 2u_n+1 [score]; ans2: 1-2u_n [score]; ans3: 1-2u_n [score]; ans4: 69 [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | prt1-1-F; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | prt2-1-F; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | prt3-1-F; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,0,Classify first,ans2,1-2u_n ,MidG_ans2,prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | prt2-1-F,FALSE,other,other
study1,CCG,anon112,MidG,G,ans1: 2u_n+1 [score]; ans2: 1-2u_n [score]; ans3: 1-2u_n [score]; ans4: 69 [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | prt1-1-F; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | prt2-1-F; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | prt3-1-F; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,0,Classify first,ans3,1-2u_n ,MidG_ans3,prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | prt3-1-F,FALSE,other,other
study1,CCG,anon112,MidG,G,ans1: 2u_n+1 [score]; ans2: 1-2u_n [score]; ans3: 1-2u_n [score]; ans4: 69 [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | prt1-1-F; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | prt2-1-F; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | prt3-1-F; prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,0,Classify first,ans4,69 ,MidG_ans4,prt4: ATAlgEquiv_SA_not_logic. | prt4-1-F,FALSE,integer,other
study1,CGC,anon113,MidG,G,ans1: 1+(n-1)3 [score]; ans2: 1-(n-1)3 [score]; ans3: 1-(n-1)5 [score]; ans4: none [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T; prt2: ATAlgEquiv_SA_not_logic. | prt2-3-F | ATLogic_True | prt2-1-T | ATGT_true. | prt2-2-T; prt3: ATAlgEquiv_SA_not_logic. | prt3-3-F | ATLogic_True | prt3-1-T | ATGTE_true. | prt3-2-T; prt4: ATEquation_empty | prt4-1-T,4,Generate first,ans1,1+(n-1)3 ,MidG_ans1,prt1: ATAlgEquiv_SA_not_logic. | prt1-3-F | ATLogic_True | prt1-1-T | ATGT_true. | prt1-2-T,TRUE,an+b,an+b
